token,20tokens
throwback,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
korean,throwback:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
wedding,movie:0.16666666666666666 rave:0.16666666666666666 musical:0.14285714285714285 fire:0.14285714285714285 beginning:0.14285714285714285 freestyle:0.14285714285714285 throw:0.125 congratulation:0.125 calming:0.125 making:0.125 wave:0.125 work:0.125 drive:0.125 worship:0.125 bonfire:0.125 beep:0.125 time:0.125 hap:0.125 engagement:0.125 touch:0.125 
mom,pop:0.2 dad:0.2 papa:0.2 modern:0.1111111111111111 straight:0.1111111111111111 closer:0.1111111111111111 friend:0.1111111111111111 throwback:0.1 sarah:0.1 christian:0.1 zombie:0.1 woman:0.1 baby:0.1 superman:0.1 jesus:0.1 kid:0.1 romeo:0.1 beast:0.1 great:0.1 gangsta:0.1 
sarah,woman:0.3333333333333333 girl:0.25 lady:0.25 guy:0.16666666666666666 modern:0.16666666666666666 straight:0.16666666666666666 closer:0.16666666666666666 friend:0.16666666666666666 throwback:0.14285714285714285 christian:0.14285714285714285 zombie:0.14285714285714285 baby:0.14285714285714285 superman:0.14285714285714285 jesus:0.14285714285714285 kid:0.14285714285714285 romeo:0.14285714285714285 beast:0.14285714285714285 great:0.14285714285714285 gangsta:0.14285714285714285 american:0.14285714285714285 
melancholy,throwback:0.3333333333333333 korean:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
running,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
good,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 random:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
vibe,power:0.25 space:0.2 good:0.16666666666666666 concentration:0.16666666666666666 mode:0.16666666666666666 people:0.14285714285714285 old:0.14285714285714285 high:0.14285714285714285 dark:0.14285714285714285 atmosphere:0.14285714285714285 life:0.14285714285714285 mood:0.14285714285714285 today:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 random:0.125 piano:0.125 20:0.125 
hit,throw:0.3333333333333333 kick:0.3333333333333333 lift:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 christian:0.2 best:0.2 bus:0.2 musical:0.2 
tb,metal:0.5 sb:0.3333333333333333 cd:0.3333333333333333 la:0.3333333333333333 h:0.25 pt:0.25 stuff:0.2 paint:0.14285714285714285 lean:0.125 drug:0.125 snowflake:0.125 coffee:0.125 water:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 people:0.1111111111111111 
country,family:0.25 party:0.2 men:0.16666666666666666 band:0.16666666666666666 club:0.16666666666666666 people:0.14285714285714285 school:0.14285714285714285 isi:0.14285714285714285 cast:0.14285714285714285 bop:0.14285714285714285 indie:0.125 class:0.125 sick:0.125 beatles:0.125 lost:0.125 public:0.125 space:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 
angst,love:0.25 happiness:0.2 mood:0.2 rage:0.2 melancholy:0.16666666666666666 dark:0.14285714285714285 glee:0.14285714285714285 atmosphere:0.14285714285714285 nostalgia:0.14285714285714285 life:0.14285714285714285 space:0.14285714285714285 raw:0.125 power:0.125 sleep:0.125 concentration:0.125 mode:0.125 vibe:0.1111111111111111 people:0.1111111111111111 old:0.1111111111111111 high:0.1111111111111111 
sb,metal:0.5 tb:0.3333333333333333 cd:0.3333333333333333 la:0.3333333333333333 h:0.25 pt:0.25 stuff:0.2 paint:0.14285714285714285 lean:0.125 drug:0.125 snowflake:0.125 coffee:0.125 water:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 people:0.1111111111111111 
ski,go:0.5 ride:0.3333333333333333 fall:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 piano:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 90:0.25 
random,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
tune,music:0.5 vocal:0.3333333333333333 song:0.25 classical:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 piano:0.2 20:0.2 oldie:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 christian:0.2 best:0.2 
chill,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 90:0.2 top:0.2 blue:0.2 
rap,touch:0.3333333333333333 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 90:0.2 top:0.2 
