track,vector
7KXjTSCq5nL1LoYtL7XAwS,9.317153 6.9189644 6.251072 0.22668369 -0.5616582
1xznGGDReH1oQq0xzbwXa3,5.899296 -1.994858 6.619918 -5.451105 -1.2038862
7BKLCZ1jbUBVqRi2FVlTVw,7.152097 -4.17346 6.8374014 1.9518697 1.2824954
5aAx2yezTd8zXrkmtKl66Z,6.524317 -0.35335895 8.31112 -0.24614672 1.0467168
4Km5HrUvYTaSUfiSGPJeQR,8.581991 5.7710557 4.6778936 0.41811457 1.2900941
3a1lNhkSLSkpJE4MSHpDu9,8.153393 5.0128627 4.9128437 0.81712985 1.2662864
2EEeOnHehOozLq4aS0n6SL,7.7994924 5.3167753 4.057631 -0.8674516 1.9542327
0SGkqnVQo9KPytSri1H6cF,9.072178 4.247638 6.2121477 -1.5672905 1.5000023
6O6M7pJLABmfBRoGZMu76Y,4.782249 -5.567915 2.8082078 -4.197977 -0.12157786
7oK9VyNzrYvRFo7nQEYkWN,2.8763475 1.6428144 0.5527811 3.6347127 -4.4548135
7yyRTcZmCiyzzJlNzGC9Ol,7.408576 1.7566742 7.5412965 -2.4133685 -0.25763908
7qiZfU4dY1lWllzX7mPBI3,6.7316666 -2.7695434 5.647803 3.485385 4.0045376
0VgkVdmE4gld66l8iyGjgx,8.351476 4.7017326 4.137633 -1.2942727 1.7291837
5hTpBe8h35rJ67eAWHQsJx,6.5213313 2.9784899 6.1696916 -0.56273764 0.5693504
2d8JP84HNLKhmd6IYOoupQ,5.4725723 0.18730427 2.8772886 -6.816915 0.32504323
6DNtNfH8hXkqOX1sjqmI7p,8.8615055 -5.6685495 6.3603706 -0.19488767 1.0174586
5XJJdNPkwmbUwE79gv0NxK,3.4558446 3.8360984 1.9657098 -2.4857397 -3.4209182
7w87IxuO7BDcJ3YUqCyMTT,4.0357203 -2.3281143 -2.9669845 1.909294 0.21896325
0QsvXIfqM0zZoerQfsI9lm,5.696312 -4.621304 5.106594 -1.9653362 -0.5989292
7yq4Qj7cqayVTp3FF9CWbm,6.145235 -4.154867 -3.6616697 2.2037597 0.10311715
6gBFPUFcJLzWGx4lenP6h2,7.887214 5.4900794 4.245069 0.7096696 1.6056914
5dNfHmqgr128gMY2tc5CeJ,4.0067854 5.1541257 2.3778377 -1.9971588 -6.193838
2PpruBYCo4H7WOBJ7Q2EwM,4.1057587 4.9129906 -0.17240438 -2.8919754 -5.3219795
5CtI0qwDJkDQGwXD1H1cLb,3.5328934 2.463918 4.6492376 -1.5606387 -0.5592217
4pdPtRcBmOSQDlJ3Fk945m,6.8837957 -4.3898263 6.4097023 0.6398424 1.2953416
152lZdxL1OR0ZMW6KquMif,6.47599 4.1348243 3.6806898 1.0230391 2.3149943
4WjH9Bzt3kx7z8kl0awxh4,5.112477 -3.6917229 3.472178 -7.138703 -0.76667506
0dA2Mk56wEzDgegdC6R17g,6.126216 -0.3149549 4.399683 3.73047 3.6770666
