track,vector
6O6M7pJLABmfBRoGZMu76Y,1.9262478 0.4121761 1.4791179
7yyRTcZmCiyzzJlNzGC9Ol,2.477415 -5.219032 1.2359718
4tCtwWceOPWzenK2HAIJSb,2.3618443 2.1170313 4.7770777
34oWbFBfGEElvgO0a5c9V4,5.07648 -4.529783 -0.5274643
5aAx2yezTd8zXrkmtKl66Z,2.3680515 -1.2891504 0.74031013
1xznGGDReH1oQq0xzbwXa3,1.7074289 1.2966202 4.5234747
7o2CTH4ctstm8TNelqjb51,3.92368 -0.35629076 2.504925
69bp2EbF7Q2rqc5N3ylezZ,1.4743671 1.1868336 5.128325
5CtI0qwDJkDQGwXD1H1cLb,1.3076442 -2.9760153 4.76197
2KpCpk6HjXXLb7nnXoXA5O,3.6809576 -6.08864 1.1567886
3ZLyt2ndLFBh148XRYjYYZ,3.895053 -2.1264887 0.5905647
7KXjTSCq5nL1LoYtL7XAwS,3.3883715 -2.61006 0.6540679
0XUfyU2QviPAs6bxSpXYG4,0.34323615 -0.3967401 4.685673
7GX5flRQZVHRAGd6B4TmDO,3.5108519 -1.5875105 1.1538997
76Y0gxtTxN0FyDCYh5qYQj,3.0725603 -3.1905715 -0.15548001
0PJIbOdMs3bd5AT8liULMQ,2.1762702 0.8987295 2.7964637
0Dc7J9VPV4eOInoxUiZrsL,3.3477383 -3.460825 1.7010555
4aX4Oycsk1fhHIee1zqsDe,1.4761599 -0.09599927 0.9580454
7129iqBafaphfc3WPCGC0L,2.591456 -0.01336191 1.758297
0VgkVdmE4gld66l8iyGjgx,3.9007475 -2.9002666 -0.2875129
2y4lAQpi5VTNLu2ldeTdUH,2.01486 0.12989616 1.168487
22L7bfCiAkJo5xGSQgmiIO,2.5803027 -3.8281631 0.8207889
6UaRii9AH6Zss9xNMEQ2M9,1.3430938 1.0270855 3.9033215
2qOm7ukLyHUXWyR4ZWLwxA,3.188111 3.39785 6.3538246
0pSBuHjILhNEo55xK1zrRt,2.2216692 -2.0392804 2.0626922
3nAq2hCr1oWsIU54tS98pL,2.639452 -4.9307356 2.2334971
70cTMpcgWMcR18t9MRJFjB,1.7162503 -0.63636 1.8940673
439TlnnznSiBbQbgXiBqAd,3.9115186 -2.6148326 0.23743337
2d8JP84HNLKhmd6IYOoupQ,1.1102718 -0.034734327 3.3393195
7ID2dydg1QFuWObmdhwzfm,2.0930748 1.1482655 2.5235674
20LxTsa6936zOlzTWqoPVt,0.7198696 -0.7089732 5.0557785
5j9iuo3tMmQIfnEEQOOjxh,1.920591 -0.20291129 1.2429149
5XJJdNPkwmbUwE79gv0NxK,3.3240635 -4.246061 -0.31824583
4VrWlk8IQxevMvERoX08iC,1.5998019 -0.05024426 1.7076576
0WqIKmW4BTrj3eJFmnCKMv,1.8397108 -1.9859619 0.7907991
3pfXxHoydFRfD7IBGJTQAN,1.717642 -0.31567267 1.6197499
3ESSGgWzRf1xvP7G5hHMhB,3.6403856 -6.6831636 1.6402408
6C7RJEIUDqKkJRZVWdkfkH,2.7319698 0.43638518 1.9519138
7BKLCZ1jbUBVqRi2FVlTVw,1.8998308 -0.22966036 1.0220721
5HuqzFfq2ulY1iBAW5CxLe,1.8763405 -0.55003124 1.0476286
2gam98EZKrF9XuOkU13ApN,0.58592594 -1.790554 4.1913095
6WQLkih8nE0JdUCEyLaGnQ,2.4308474 -0.47535375 1.6503265
12REd1n8PeiHHWOh066tpr,1.93646 0.42226505 1.3872225
2EEeOnHehOozLq4aS0n6SL,2.1552818 -2.542254 0.4045345
1yxgsra98r3qAtxqiGZPiX,2.2436163 -3.4426053 0.5101771
2iUmqdfGZcHIhS3b9E9EWq,1.8533392 0.13434157 2.0240953
6gBFPUFcJLzWGx4lenP6h2,1.9672749 -2.8342385 1.0800215
17Fd6Yb7mSbinKG8LoWfFl,1.7637078 0.38232008 2.289388
3yfqSUWxFvZELEM4PmlwIR,3.592901 -2.1072407 0.16902007
5Q0Nhxo0l2bP3pNjpGJwV1,1.2471893 0.41018787 2.781064
7d1CFwrBmH34gmS0Hkbfbt,1.3172995 0.29017413 2.182524
6rbeWjEavBHvX2kr6lSogS,2.5123148 -3.9740307 0.9309421
0azC730Exh71aQlOt9Zj3y,1.1003585 -1.1976473 3.1658318
7iL6o9tox1zgHpKUfh9vuC,2.0436335 -3.689811 2.6280122
3gbBpTdY8lnQwqxNCcf795,1.5787933 -0.15799123 0.67447495
1tpLxOKuAaRCViAxf2pgNr,3.5639653 -2.3945634 0.79296297
4w7yrP4RAeeyhfG9nJqQvS,2.5565007 -3.0412421 0.92737544
62vpWI1CHwFy7tMIcSStl8,2.1389782 -1.6484935 0.72114813
39afswHs17v53znQm1gDTY,1.4158844 -0.8348195 4.3627863
0i5el041vd6nxrGEU8QRxy,3.008168 -0.23868583 1.5072939
7MCNnnmwm7TXMh7xyNGohi,2.3437586 0.27544004 1.5110314
4Pwjz3DfvfQWV0rO2V8jyh,3.7731683 -2.0710878 0.000544143
32FX4D4eT8LFP07QvlhSn8,1.8657473 -0.1488016 1.4739243
0LWQWOFoz5GJLqcHk1fRO2,2.936727 -2.4073725 0.5663243
2771LMNxwf62FTAdpJMQfM,2.8759913 -3.057099 0.65702623
0sFvItEeMstcUyZCleYgyj,2.7515712 -3.1729126 2.266331
6qn9YLKt13AGvpq9jfO8py,1.2534415 -0.15745421 1.2727067
5yuShbu70mtHXY0yLzCQLQ,1.7701786 -1.1806531 1.6332492
