key,vector
6O6M7pJLABmfBRoGZMu76Y,3.4771235 2.6918874 0.113861464 -0.613764 -1.3012757
70cTMpcgWMcR18t9MRJFjB,1.252796 0.78232354 -3.0104947 2.7329693 0.07028199
7129iqBafaphfc3WPCGC0L,3.3979094 1.6298509 0.09330809 -0.5620426 -0.50843364
0PJIbOdMs3bd5AT8liULMQ,4.224062 2.4399273 -1.6944108 -0.15657729 -2.991253
5aAx2yezTd8zXrkmtKl66Z,2.0025084 1.7012258 -0.12032362 0.6704337 0.09339178
2CvOqDpQIMw69cCzWqr5yr,3.7343328 2.9200327 0.8481984 -1.1973108 1.0520715
3W3KtDwAIg3mAruSpnfG3Q,3.3349364 -1.1998972 -0.3442808 3.154862 -1.7871962
17Fd6Yb7mSbinKG8LoWfFl,2.8547246 1.7369657 -0.1034249 0.17885624 -1.6209303
53QF56cjZA9RTuuMZDrSA6,2.1664772 0.6925627 -1.5663621 1.5399977 -0.20237504
5XJJdNPkwmbUwE79gv0NxK,1.9764187 3.1431599 0.5778287 0.57520646 3.092048
1xznGGDReH1oQq0xzbwXa3,5.121867 0.6428816 -0.8942093 -0.42917812 -0.042421497
2KpCpk6HjXXLb7nnXoXA5O,2.7228634 1.8373312 -4.2582426 2.3628848 0.1298457
7yyRTcZmCiyzzJlNzGC9Ol,1.1525277 1.8363436 0.6677534 3.0953133 0.5157048
69bp2EbF7Q2rqc5N3ylezZ,3.997259 -0.4049714 0.7821172 0.09064848 -0.26827225
7BKLCZ1jbUBVqRi2FVlTVw,1.8076558 1.0890262 0.3223239 0.33364573 0.16818736
6C7RJEIUDqKkJRZVWdkfkH,2.1046276 1.9774876 -0.5039544 1.4174237 -0.018855544
7GX5flRQZVHRAGd6B4TmDO,0.6652112 4.748246 0.98405325 4.015457 2.4027712
1VdZ0vKfR5jneCmWIUAMxK,2.6818488 0.33397406 -0.23064546 1.3367636 0.4680612
5Q0Nhxo0l2bP3pNjpGJwV1,4.578407 -0.51515913 -0.79544437 -0.20093052 -0.09564371
4tCtwWceOPWzenK2HAIJSb,4.1632056 -0.0006406307 -1.3344681 -0.19012113 -1.7462202
0VgkVdmE4gld66l8iyGjgx,0.6982428 5.3900504 1.273502 3.7428772 2.6075804
3nAq2hCr1oWsIU54tS98pL,2.533248 1.5936571 -3.4758794 3.2280118 -0.34126756
2d8JP84HNLKhmd6IYOoupQ,0.9634852 1.1942687 -0.5578572 1.8115093 0.1353545
0XUfyU2QviPAs6bxSpXYG4,1.5275953 0.078374915 -0.16022234 2.0725994 -0.23903796
6UaRii9AH6Zss9xNMEQ2M9,2.0139625 0.9373286 0.6529538 1.1525573 -0.44209003
3S0OXQeoh0w6AY8WQVckRW,1.3836286 1.3720881 -1.8547119 2.0799854 -0.54895735
3ZLyt2ndLFBh148XRYjYYZ,1.3919796 2.5557368 0.87306863 2.662945 0.50097203
34oWbFBfGEElvgO0a5c9V4,0.8918815 2.99799 1.9062598 3.7485027 2.7246506
6gBFPUFcJLzWGx4lenP6h2,0.46086815 4.699309 0.6290534 3.992175 2.426076
5CtI0qwDJkDQGwXD1H1cLb,1.5910803 0.85006696 0.047510833 1.9504689 -0.4124157
0WqIKmW4BTrj3eJFmnCKMv,2.3370488 0.84594995 1.2090279 1.5124704 2.861138
7KXjTSCq5nL1LoYtL7XAwS,0.94596505 3.302734 1.0931773 2.2084498 0.7031117
5dNfHmqgr128gMY2tc5CeJ,2.4395678 -0.38393497 1.9760154 2.5584862 1.2743771
3hB5DgAiMAQ4DzYbsMq1IT,4.4992332 -0.09295772 0.80416095 0.46605536 -0.14762414
0pSBuHjILhNEo55xK1zrRt,1.2333785 2.0499883 1.9545759 2.433723 2.0310018
4aX4Oycsk1fhHIee1zqsDe,1.3716406 0.5707055 -0.105064735 0.8032796 -0.26759154
1yxgsra98r3qAtxqiGZPiX,0.6589568 2.3146737 0.1613174 1.7689596 1.422114
7w87IxuO7BDcJ3YUqCyMTT,1.5653192 0.5603582 -0.04784842 1.2601373 0.2651982
3yfqSUWxFvZELEM4PmlwIR,1.8300486 2.9631963 1.0459204 1.2694764 1.1538644
343YBumqHu19cGoGARUTsd,1.3989209 1.4049915 -0.5810548 1.5739715 1.0371119
