track_id,count
6O6M7pJLABmfBRoGZMu76Y,10
53QF56cjZA9RTuuMZDrSA6,9
7yyRTcZmCiyzzJlNzGC9Ol,9
69bp2EbF7Q2rqc5N3ylezZ,9
2KpCpk6HjXXLb7nnXoXA5O,8
5aAx2yezTd8zXrkmtKl66Z,8
3hB5DgAiMAQ4DzYbsMq1IT,8
1xznGGDReH1oQq0xzbwXa3,8
5y69gQtK33qxb8a24ACkCy,7
5XzmZjXhMjDHr7ZfJ6DELQ,7
2EEeOnHehOozLq4aS0n6SL,7
7KXjTSCq5nL1LoYtL7XAwS,7
0VgkVdmE4gld66l8iyGjgx,7
17Fd6Yb7mSbinKG8LoWfFl,7
12REd1n8PeiHHWOh066tpr,7
7BKLCZ1jbUBVqRi2FVlTVw,7
2Oehrcv4Kov0SuIgWyQY9e,7
7129iqBafaphfc3WPCGC0L,7
0pSBuHjILhNEo55xK1zrRt,7
0WqIKmW4BTrj3eJFmnCKMv,6
0XUfyU2QviPAs6bxSpXYG4,6
2PpruBYCo4H7WOBJ7Q2EwM,6
5Q0Nhxo0l2bP3pNjpGJwV1,6
70cTMpcgWMcR18t9MRJFjB,6
3ZLyt2ndLFBh148XRYjYYZ,6
34oWbFBfGEElvgO0a5c9V4,6
0PJIbOdMs3bd5AT8liULMQ,6
2CvOqDpQIMw69cCzWqr5yr,6
5l3CML2OnzfNs5RfVgbcLt,6
7qiZfU4dY1lWllzX7mPBI3,6
7GX5flRQZVHRAGd6B4TmDO,6
0QsvXIfqM0zZoerQfsI9lm,6
2d8JP84HNLKhmd6IYOoupQ,6
3W3KtDwAIg3mAruSpnfG3Q,6
4VrWlk8IQxevMvERoX08iC,6
1VdZ0vKfR5jneCmWIUAMxK,6
5XJJdNPkwmbUwE79gv0NxK,6
5qqabIl2vWzo9ApSC317sa,6
4llK75pXNWZz6KAho2Gp16,6
6eT7xZZlB2mwyzJ2sUKG6w,6
2jyjhRf6DVbMPU5zxagN2h,6
7KwZNVEaqikRSBSpyhXK2j,6
3nAq2hCr1oWsIU54tS98pL,6
3ESSGgWzRf1xvP7G5hHMhB,6
67T6l4q3zVjC5nZZPXByU8,5
4E5P1XyAFtrjpiIxkydly4,5
6FE2iI43OZnszFLuLtvvmg,5
7fYbFYt7X4FZvuJJC90EX0,5
6gBFPUFcJLzWGx4lenP6h2,5
439TlnnznSiBbQbgXiBqAd,5
4aX4Oycsk1fhHIee1zqsDe,5
6Qyc6fS4DsZjB2mRW9DsQs,5
4LfkoDOt4mhrbo8Ndk37sQ,5
3pfXxHoydFRfD7IBGJTQAN,5
6C7RJEIUDqKkJRZVWdkfkH,5
4KW1lqgSr8TKrvBII0Brf8,5
20LxTsa6936zOlzTWqoPVt,5
76Y0gxtTxN0FyDCYh5qYQj,5
4tCtwWceOPWzenK2HAIJSb,5
6hmhG1b4LEyNuashVvuIAo,5
6WQLkih8nE0JdUCEyLaGnQ,5
6UaRii9AH6Zss9xNMEQ2M9,5
0i5el041vd6nxrGEU8QRxy,5
5uCax9HTNlzGybIStD3vDh,5
7w87IxuO7BDcJ3YUqCyMTT,5
6fxVffaTuwjgEk5h9QyRjy,5
5fVZC9GiM4e8vu99W0Xf6J,5
3yfqSUWxFvZELEM4PmlwIR,5
4bHsxqR3GMrXTxEPLuK5ue,5
7wMq5n8mYSKlQIGECKUgTX,5
2iUmqdfGZcHIhS3b9E9EWq,5
4sPmO7WMQUAf45kwMOtONw,5
343YBumqHu19cGoGARUTsd,5
7yq4Qj7cqayVTp3FF9CWbm,5
62vpWI1CHwFy7tMIcSStl8,5
5KY7zgFeH2GWoL1zP9mME6,5
1a1i2IwXnUN0PjllVEhA4B,5
11bD1JtSjlIgKgZG2134DZ,5
2g8HN35AnVGIk7B8yMucww,5
6Ius4TC0L3cN74HT7ENE6e,5
5hTpBe8h35rJ67eAWHQsJx,5
3a1lNhkSLSkpJE4MSHpDu9,5
152lZdxL1OR0ZMW6KquMif,5
4Pwjz3DfvfQWV0rO2V8jyh,5
