track,vector
6O6M7pJLABmfBRoGZMu76Y,2.498415 1.2183355 2.3189898 -2.1397495 -4.254321
7yyRTcZmCiyzzJlNzGC9Ol,1.1694064 0.5533891 -0.62441874 3.5724156 -3.438499
53QF56cjZA9RTuuMZDrSA6,3.4699519 -1.8258893 -0.14276579 0.58351123 -2.125655
69bp2EbF7Q2rqc5N3ylezZ,4.439484 -1.8078624 3.2597296 -3.022404 -2.8440475
3hB5DgAiMAQ4DzYbsMq1IT,5.421774 -2.597403 2.9012282 -2.4816394 -3.9255154
5aAx2yezTd8zXrkmtKl66Z,2.8664513 0.0024485395 1.2810524 -1.2079189 -3.1130338
2KpCpk6HjXXLb7nnXoXA5O,2.0453207 4.6844425 -0.711087 2.6180649 -1.2274177
1xznGGDReH1oQq0xzbwXa3,4.3705072 -1.4771669 1.3135722 -2.218113 -3.5693412
7BKLCZ1jbUBVqRi2FVlTVw,2.452304 -2.2672842 1.2497368 0.5940503 -2.3298552
2Oehrcv4Kov0SuIgWyQY9e,4.4216475 0.36910114 -2.165488 -1.2154889 -2.0374591
2EEeOnHehOozLq4aS0n6SL,1.5015934 3.3297396 2.6572752 0.86008066 -1.9063063
0VgkVdmE4gld66l8iyGjgx,1.9711554 5.827361 2.953865 3.0052886 -0.7501137
12REd1n8PeiHHWOh066tpr,3.154554 1.6152892 -0.72431135 -0.27887064 -2.66062
0pSBuHjILhNEo55xK1zrRt,4.2748694 0.3241411 2.0609272 -2.2604165 -0.21840295
7129iqBafaphfc3WPCGC0L,2.4630075 0.025234926 1.4526061 -1.3124392 -2.2386758
5y69gQtK33qxb8a24ACkCy,4.6996727 2.9550679 -1.2685593 -2.3410761 -0.63071615
5XzmZjXhMjDHr7ZfJ6DELQ,2.0127778 2.842711 -0.38026085 1.7632064 -2.3903515
17Fd6Yb7mSbinKG8LoWfFl,3.1905146 0.58749163 3.220613 -2.2355201 -3.8001738
7KXjTSCq5nL1LoYtL7XAwS,1.2490273 3.621894 3.1453354 1.6951447 -1.9917654
34oWbFBfGEElvgO0a5c9V4,1.9117333 1.8222656 1.4151883 2.8344786 1.0835515
3ZLyt2ndLFBh148XRYjYYZ,1.2424797 2.8681216 2.2312315 2.4670033 -0.9331336
3ESSGgWzRf1xvP7G5hHMhB,3.7519815 0.53010714 1.4051645 -0.29363593 0.74406743
4VrWlk8IQxevMvERoX08iC,3.495531 -2.0286229 0.9230004 -0.71027887 -4.1491933
0QsvXIfqM0zZoerQfsI9lm,2.7566981 -1.4828758 2.1853356 -0.24522981 -4.0448
70cTMpcgWMcR18t9MRJFjB,1.9888461 -0.26270702 -0.31210384 0.751615 -1.8213437
1VdZ0vKfR5jneCmWIUAMxK,3.1768851 -0.16223422 0.42940888 0.57938653 0.13795039
5qqabIl2vWzo9ApSC317sa,3.383395 1.8830633 2.5897133 1.8183105 2.2705019
