token,20tokens
throwback,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
korean,throwback:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
wedding,musical:0.14285714285714285 throw:0.125 congratulation:0.125 people:0.1111111111111111 best:0.1111111111111111 fun:0.1111111111111111 meow:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 hit:0.1 random:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 
sarah,guy:0.16666666666666666 throwback:0.14285714285714285 korean:0.125 chill:0.1 pop:0.1 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 catchy:0.09090909090909091 people:0.09090909090909091 piano:0.09090909090909091 20:0.09090909090909091 go:0.09090909090909091 relaxing:0.09090909090909091 beat:0.09090909090909091 lit:0.09090909090909091 best:0.09090909090909091 musical:0.09090909090909091 old:0.09090909090909091 
melancholy,throwback:0.3333333333333333 korean:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
running,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
good,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 
vibe,good:0.16666666666666666 people:0.14285714285714285 old:0.14285714285714285 high:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 random:0.125 catchy:0.125 piano:0.125 20:0.125 go:0.125 relaxing:0.125 pop:0.125 beat:0.125 lit:0.125 music:0.125 best:0.125 musical:0.125 
hit,throw:0.3333333333333333 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 beat:0.2 lit:0.2 best:0.2 bus:0.2 musical:0.2 old:0.2 90:0.2 
tb,metal:0.5 sb:0.3333333333333333 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 catchy:0.1111111111111111 people:0.1111111111111111 piano:0.1111111111111111 20:0.1111111111111111 go:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 best:0.1111111111111111 musical:0.1111111111111111 old:0.1111111111111111 
country,party:0.2 people:0.14285714285714285 school:0.14285714285714285 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 beat:0.1 lit:0.1 music:0.1 best:0.1 musical:0.1 
angst,melancholy:0.16666666666666666 vibe:0.1111111111111111 people:0.1111111111111111 old:0.1111111111111111 high:0.1111111111111111 throwback:0.1 korean:0.1 running:0.1 good:0.1 random:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 beat:0.1 lit:0.1 music:0.1 best:0.1 
