token,20tokens
throwback,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
korean,throwback:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
wedding,musical:0.14285714285714285 people:0.1111111111111111 best:0.1111111111111111 fun:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 hit:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 music:0.1 christian:0.1 
mom,pop:0.2 throwback:0.1 sarah:0.1 christian:0.1 korean:0.09090909090909091 mayer:0.08333333333333333 chill:0.07692307692307693 melancholy:0.07142857142857142 running:0.07142857142857142 good:0.07142857142857142 random:0.07142857142857142 80:0.07142857142857142 people:0.07142857142857142 20:0.07142857142857142 relaxing:0.07142857142857142 classic:0.07142857142857142 beat:0.07142857142857142 lit:0.07142857142857142 best:0.07142857142857142 musical:0.07142857142857142 
sarah,throwback:0.14285714285714285 christian:0.14285714285714285 korean:0.125 mayer:0.1111111111111111 mom:0.1 chill:0.1 pop:0.1 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 people:0.09090909090909091 20:0.09090909090909091 relaxing:0.09090909090909091 classic:0.09090909090909091 beat:0.09090909090909091 lit:0.09090909090909091 best:0.09090909090909091 musical:0.09090909090909091 
melancholy,throwback:0.3333333333333333 korean:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
running,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
good,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
vibe,good:0.16666666666666666 people:0.14285714285714285 old:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 random:0.125 80:0.125 20:0.125 relaxing:0.125 pop:0.125 classic:0.125 beat:0.125 lit:0.125 music:0.125 christian:0.125 best:0.125 musical:0.125 top:0.125 
hit,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 bus:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 
tb,sb:0.3333333333333333 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 people:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 christian:0.1111111111111111 best:0.1111111111111111 musical:0.1111111111111111 old:0.1111111111111111 top:0.1111111111111111 
country,party:0.2 people:0.14285714285714285 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 music:0.1 christian:0.1 best:0.1 musical:0.1 old:0.1 
angst,melancholy:0.16666666666666666 vibe:0.1111111111111111 people:0.1111111111111111 old:0.1111111111111111 throwback:0.1 korean:0.1 running:0.1 good:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 music:0.1 christian:0.1 best:0.1 musical:0.1 
sb,tb:0.3333333333333333 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 people:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 christian:0.1111111111111111 best:0.1111111111111111 musical:0.1111111111111111 old:0.1111111111111111 top:0.1111111111111111 
ski,ride:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 top:0.25 blue:0.25 
random,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
tune,music:0.5 song:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 
chill,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 legendary:0.2 
rap,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 legendary:0.2 
